unit_name,asa,background,fur,skin,eyes,posture,clothing,hats,item,accessories,rarity_score,rank,name
AGA105,380192131,Grey and Green,Gold,Blue,Silver,"Arm down, smiling",Orange Spacesuit,Dark Blue Backwards Cap,,Black Eyepatch,450.36962312103526,1,AlgorillaArmy#105
AGA301,425969752,Light Pink and Red,Zebra,Pink,Normal,Arm up,Orange Spacesuit,Pink Dreads,Blue Selfiestick,,442.5571821188477,2,AlgorillaArmy#301
AGA20,546498574,Bright Pink and Light Blue,Purple,Gold,Green,Arm up,Orange Spacesuit,,Spear,Yellow Shutter Shades,380.9074303207837,3,AlgorillaArmy#20
AGA234,409038042,Grey and Silver Radial,Blue Zebra,Silver,Pink,Arm down,Leather Belt,Gold Crown,,Gold Algo Necklace,361.956937161888,4,AlgorillaArmy#234
AGA822,545151891,Brown and Gold Radial,Normal,Normal,Red,Arm down,Teal Vneck,Purple Dreads,,Green Lasers,341.47223952160107,5,AlgorillaArmy#822
AGA30,377726544,Bright Pink and Light Blue,Silver,Gold,Pink,Arm down,Gold Suit,Gold Dreads,,Aviators,336.9725854839063,6,AlgorillaArmy#30
AGA373,544998143,Light Pink and Red,Green,Red,Normal,Arm up,Orange Spacesuit,,Gold Selfiestick,,332.5562210948689,7,AlgorillaArmy#373
AGA106,384634771,Grey and Silver Radial,Rainbow,Normal,Blue,Arm up,White Spacesuit,Gold Crown,Yellow Cocktail,,328.8961276627676,8,AlgorillaArmy#106
AGA99,546562626,Orange and Green,Zebra,Gold,Normal,Arm up,Orange Sports Bra,Bright Red Beanie Hat,Red Cocktail,Anderson Glasses,324.64068485805905,9,AlgorillaArmy#99
AGA310,449448493,Purple and Light Green and White Radial,Normal,Purple,Silver,"Arm up, smiling",Banana Shirt,Robot Head,Red Cocktail,,322.48005316208975,10,AlgorillaArmy#310
AGA123,384664832,White and Pink,Red,Red,Purple,Arm up,Gold Suit,Pink Dreads,Pink Gold Selfiestick,Aviators,317.5153671663568,11,AlgorillaArmy#123
AGA34,377731865,Light Pink and Red,Normal,Purple,Green,"Arm up, smiling",Leather Belt,Robot Head,Purple Cocktail,Gold Algo Necklace,316.383595931064,12,AlgorillaArmy#34
AGA181,384744644,White and Pink,Normal,Silver,Normal,"Arm up, smiling",Leather Belt,Green Backwards Cap,Gold Bar,Blue Lasers,314.54081160731977,13,AlgorillaArmy#181
AGA603,545081699,White and Purple,Blue Lava,Gold,Normal,Arm down,Pink Vneck,Gold Dreads,,Aviators,314.12476904977683,14,AlgorillaArmy#603
AGA348,449557369,Light Grey and Yellow,Normal,Normal,Black,"Arm up, smiling",Suit Red Tie,Yellow Beanie,Blue Selfiestick,Gold Algo Necklace,311.3864476934843,15,AlgorillaArmy#348
AGA455,545039562,White and Orange,Blue Lava,Silver,Red,Arm down,,Silver Dreads,,,306.61847100806096,16,AlgorillaArmy#455
AGA23,377715609,Sky Blue and White,Normal,Yellow,Purple,"Arm up, smiling",Gold Suit,Normal Dreads,Gold Selfiestick,White Shudder Shades,306.0985190359904,17,AlgorillaArmy#23
AGA309,449445820,Light Pink and Red,Blue Zebra,Yellow,Normal,Arm down,White Tanktop,Yellow Dreads,,Gold Algo Necklace,304.5358583006985,18,AlgorillaArmy#309
AGA750,545143862,Brown and Gold Radial,Blue,Normal,Silver,"Arm up, smiling",Banana Shirt,Gold Tophat,Spear,Blue Shutter Shades,303.70393546487225,19,AlgorillaArmy#750
AGA78,378927995,Light Pink and Red,Rainbow,Red,Purple,"Arm up, smiling",White Spacesuit,Green Afro,Blue Selfiestick,,297.6677621608234,20,AlgorillaArmy#78
AGA205,387121078,Grey and Green,Zebra,Red,Yellow,Arm down,Gold Suit,,,Morpheus Glasses,292.08146580403496,21,AlgorillaArmy#205
AGA130,384674390,Purple and Light Green,Rainbow,Blue,Green,Arm up,Suit Purple Tie,Green Dreads,Banana,,289.0697998478709,22,AlgorillaArmy#130
AGA195,384765400,Orange and Green,Normal,Pink,Normal,Arm up,Orange Sports Bra,Unicorn Horn,Blue Selfiestick,Silver Algo Necklace,288.2875677191382,23,AlgorillaArmy#195
AGA911,545198956,Light Green and Mid Green,Red,Silver,Blue,Arm up,Orange Sports Bra,,Gold Bar,Morpheus Glasses,285.7490875336885,24,AlgorillaArmy#911
